🌞央视频道,#genre#
凤凰香港2,http://43.129.81.169/qctv.fengshows.cn/live/0701phk72.flv
凤凰中文,http://117.158.43.187:2016/全网通.php?id=凤凰中文台
凤凰中文1,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文2,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰中文台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰资讯3,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文3,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯4,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文4,http://8.138.7.223/tv/fh.php?id=1
凤凰资讯5,http://8.138.7.223/tv/fh.php?id=2
香港卫视,https://yvxymm.tv12.xyz/175.m3u8
凤凰中文,https://fenghuang.tv12.xyz/165.m3u8
凤凰中文6,https://fenghuang.tv12.xyz/166.m3u8
凤凰资讯6,https://fenghuang.tv12.xyz/168.m3u8
凤凰资讯7,https://fenghuang.tv12.xyz/169.m3u8
凤凰香港6,https://fenghuang.tv12.xyz/171.m3u8
凤凰香港7,https://live.tvfix.org/live/fwxg/2/v4000000/index.m3u8
CCTV1,https://iptv.tvfix.org/play/cctv1hd
中视, rtmp://f13h.mine.nu/sat/tv091
澳视澳门台,https://fenghuang.tv12.xyz/181.m3u8
澳视葡文台,https://fenghuang.tv12.xyz/182.m3u8
澳视卫星台,https://fenghuang.tv12.xyz/183.m3u8
澳视体育台,https://fenghuang.tv12.xyz/184.m3u8
澳视资讯台,https://fenghuang.tv12.xyz/185.m3u8
澳视综艺台,https://fenghuang.tv12.xyz/186.m3u8
莲花卫视,https://fenghuang.tv12.xyz/187.m3u8
爱尔达体育1台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=86
爱尔达体育2台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=87
爱尔达体育3台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=88
爱尔达体育4台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=89
纬来体育台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=79
纬来日本台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=80
纬来育乐台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=81
ELEVEN 1（DAZN 1）,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=82
ELEVEN 2（DAZN 2）,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=83
大爱一台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=91
大爱二台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=92
MOMO综合台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=94
东森超视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=95
东森综合台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=96
东森电影台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=97
八大第一台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=98
八大综合台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=99
好莱坞电影,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=103
中视新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=50
华视新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=51
TVBS新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=52
非凡新闻,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=56
民视新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=58
民视第一台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=59
民视台湾台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=60
民视影剧台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=61
民视旅游台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=62
民视综艺台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=63
民视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=65
台视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=66
中视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=67
华视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=68
公视,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=69
TVBS HD,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=70
TVBS欢乐台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=71
TVBS精彩台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=72

美亚电影,https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/1/v1000000/index.m3u8
无线亚洲,https://live.tvfix.org/live/tvbs/2/v4000000/index.m3u8
tvbs新闻,https://live.tvfix.org/live/tvbsnews/1/v4000000/index.m3u8
popc,https://live.tvfix.org/live/popc/2/v4000000/index.m3u8
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
无线新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
中天新闻,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
鳳凰衛視,https://lz.雾.top/刘公子.php?id=phoenixtv_hd
鳳凰資訊,https://lz.雾.top/刘公子.php?id=phoenixinfo_hd
鳳凰香港,https://lz.雾.top/刘公子.php?id=hkphoenix_twn
寰宇新聞,https://lz.雾.top/刘公子.php?id=huanyuxinwen_twn
中天新聞,https://lz.雾.top/刘公子.php?id=ctinews
年代新聞,https://lz.雾.top/刘公子.php?id=niandainews_twn
東森新聞,https://lz.雾.top/刘公子.php?id=ettvnews
民視新聞,https://lz.雾.top/刘公子.php?id=ftvnew_taiwan
TVBS新聞,https://lz.雾.top/刘公子.php?id=tvbs_n
TVBS,https://lz.雾.top/刘公子.php?id=tvbs
東森財經新聞,https://lz.雾.top/刘公子.php?id=ettvcaijing_twn
非凡新聞,https://lz.雾.top/刘公子.php?id=feifannews_twn
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
中天新闻1,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
中天CTI+,https://ali.hlspull.yximgs.com/live/167ztxw2.flv
中天CTI+1,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
中天亚洲,https://ali.hlspull.yximgs.com/live/167ztyz.flv
中天亚洲1,http://ali.hlspull.yximgs.com/live/awei_ztyz.flv
寰宇新闻,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
中天新闻2,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
中天新闻3,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
中天新闻4,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
寰宇新闻,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
寰宇新闻1,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8
台视新闻1,http://8.138.7.223/tv/4gtv.php?id=5
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
🌞港澳4Gtv,#genre#
凤凰中文台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰中文台
凤凰资讯台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰资讯台
凤凰香港台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰香港台
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视1,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视2,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
澳门卫视,https://hls-gateway.vpstv.net/streams/708913.m3u8
澳门卫视1,https://hls-gateway.vpstv.net/streams/708914.m3u8
凤凰中文,http://ali.hlspull.yximgs.com/live/e14bbe29079fd18a8e8b445ce7fcc3dd.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/8803fa3dbc8b9adb24010f8fb5c44e02.flv
凤凰香港,http://ali.hlspull.yximgs.com/live/7532e23fe1350d23bf72e13b95954253.flv
中天新闻,http://ali.hlspull.yximgs.com/live/f46af3e15ee89e76d4d846ba04258ece.flv
寰宇新闻,http://ali.hlspull.yximgs.com/live/b00e5a1c1ed0f660a39b04d0c6edef4c.flv
无线新闻,http://ali.hlspull.yximgs.com/live/cd156be95d97a14bf94a3a7df5d01491.flv
无线翡翠,http://ali.hlspull.yximgs.com/live/198c9b22180cb5864e46c669d435e880.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
翡翠台,http://ali.hlspull.yximgs.com/live/awei_jade.flv
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
TVBS a频道,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
ETRV中国,http://38.64.72.148/hls/modn/list/2003/chunklist0.m3u8
超视34.5,http://38.64.72.148/hls/modn/list/2013/chunklist0.m3u8
ETRV美国,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
华语电视2,http://38.64.72.148/hls/modn/list/4002/chunklist0.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
纬来日本,rtmp://f13h.mine.nu:1935/sat/tv771
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
華視,rtmp://f13h.mine.nu/sat/tv111
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=纬来电影
东森电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=东森电影
东森洋片,http://api.mytv666.top/api/qwt.php?t=影视频道&id=东森洋片
ELTA体育1,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育1
ELTA体育2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育2
ELTA体育3,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育3
ELTA体育|4|,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育|4|
tvbs欢乐,http://61.216.11.93:49981/stream/channelid/1607444205.m3u8
东森超视,http://61.216.11.93:49981/stream/channelid/1026178460.m3u8
民视闽南,http://61.216.11.93:49981/stream/channelid/1736257299.m3u8
八大第一,http://61.216.11.93:49981/stream/channelid/2021000694.m3u8
八大综合,http://61.216.11.93:49981/stream/channelid/1339557876.m3u8
年代综合,http://61.216.11.93:49981/stream/channelid/644357774.m3u8
纬来综合,http://61.216.11.93:49981/stream/channelid/106481234.m3u8
纬来电影,http://61.216.11.93:49981/stream/channelid/1914405885.m3u8
好莱电影,http://61.216.11.93:49981/stream/channelid/286389561.m3u8
CINeMax,http://61.216.11.93:49981/stream/channelid/207378916.m3u8
CINeMax,http://61.216.11.93:49981/stream/channelid/1222093986.m3u8
TLC'综合,http://61.216.11.93:49981/stream/channelid/458490002.m3u8
Nick少儿,http://61.216.11.93:49981/stream/channelid/580636100.m3u8
NHk日本,http://61.216.11.93:49981/stream/channelid/797583403.m3u8
cNN新闻,http://61.216.11.93:49981/stream/channelid/881277234.m3u8
信吉电视,http://61.216.11.93:49981/stream/channelid/166215564.m3u8
tvbs闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv073/index.m3u8?proxy=true
民视台湾4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8?proxy=true
民视第一4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8?proxy=true
民视旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv07/index.m3u8?proxy=true
民视影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv09/index.m3u8?proxy=true
民视综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv004/index.m3u8?proxy=true
中视菁采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv064/index.m3u8?proxy=true
中视经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv080/index.m3u8?proxy=true
台视财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8?proxy=true
公视戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv042/index.m3u8?proxy=true
闽南戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn22/index.m3u8?proxy=true
国际财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv104/index.m3u8?proxy=true
全球财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live060/index.m3u8?proxy=true
东森财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8?proxy=true
寰宇财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv158/index.m3u8?proxy=true
cnbc财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live130/index.m3u8?proxy=true
tvbs精采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv067/index.m3u8?proxy=true
tvbs欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv068/index.m3u8?proxy=true
tvbs综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live087/index.m3u8?proxy=true
tvbs台剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live088/index.m3u8?proxy=true
八大精彩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv039/index.m3u8?proxy=true
三立综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8?proxy=true
爱达娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv054/index.m3u8?proxy=true
靖天映画4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv055/index.m3u8?proxy=true
靖天戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv058/index.m3u8?proxy=true
靖天电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv061/index.m3u8?proxy=true
靖天育乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv062/index.m3u8?proxy=true
靖天国际4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv063/index.m3u8?proxy=true
靖天资讯4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv065/index.m3u8?proxy=true
龙华卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn01/index.m3u8?proxy=true
龙华日韩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn11/index.m3u8?proxy=true
龙华偶像4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn12/index.m3u8?proxy=true
龙华电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn03/index.m3u8?proxy=true
龙华洋片4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn02/index.m3u8?proxy=true
龙华戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn18/index.m3u8?proxy=true
龙华经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn21/index.m3u8?proxy=true
国会频壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv084/index.m3u8?proxy=true
国会频贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv085/index.m3u8?proxy=true
好消息壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv16/index.m3u8?proxy=true
好消息贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv17/index.m3u8?proxy=true
大爱壹高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8?proxy=true
大爱贰高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live106/index.m3u8?proxy=true
人间卫视4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live008/index.m3u8?proxy=true
原住民族4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live014/index.m3u8?proxy=true
唐人亚太4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live050/index.m3u8?proxy=true
智林体育4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv101/index.m3u8?proxy=true
博斯魅力4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn04/index.m3u8?proxy=true
博斯网球4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn09/index.m3u8?proxy=true
博高球壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn05/index.m3u8?proxy=true
博高球贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn06/index.m3u8?proxy=true
博运动壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn07/index.m3u8?proxy=true
博运动贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn08/index.m3u8?proxy=true
博无限壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn10/index.m3u8?proxy=true
博无限贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn13/index.m3u8?proxy=true
阿里郎台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv079/index.m3u8?proxy=true
滚动人生4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live012/index.m3u8?proxy=true
达文西台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv018/index.m3u8?proxy=true
猪哥亮厅4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv006/index.m3u8?proxy=true
亚洲旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv076/index.m3u8?proxy=true
ELta旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live120/index.m3u8?proxy=true
美国之音4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv03/index.m3u8?proxy=true
半岛新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv10/index.m3u8?proxy=true
非凡商业4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv048/index.m3u8?proxy=true
第壹商业4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv109/index.m3u8?proxy=true
影迷纪实4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv15/index.m3u8?proxy=true
经典电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live021/index.m3u8?proxy=true
经典卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live022/index.m3u8?proxy=true
精选动漫4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live024/index.m3u8?proxy=true
戏剧壹台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live010/index.m3u8?proxy=true
古典音乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv059/index.m3u8?proxy=true
客家电视4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv043/index.m3u8?proxy=true
华仁纪实4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv013/index.m3u8?proxy=true
时尚运动4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv014/index.m3u8?proxy=true
空间居家4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live206/index.m3u8?proxy=true
生活英语4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn20/index.m3u8?proxy=true
互动英语4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live030/index.m3u8?proxy=true
采昌影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv049/index.m3u8?proxy=true
数位电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv011/index.m3u8?proxy=true
